id,brand,model_id,year,transmission,fuelType,mileage,tax,mpg,engineSize,price
44232,3,37,2017,Manual,Diesel,60520,0,74.3,1.6,11695
33117,2,33,2017,Manual,Diesel,16222,145,67.3,2.0,16899
16685,1,4,2017,Semi-Auto,Diesel,48883,145,53.3,3.0,25990
22593,2,43,2017,Manual,Petrol,16756,145,57.7,1.2,7350
42827,3,37,2017,Manual,Diesel,24290,145,67.3,2.0,12450
22197,2,44,2017,Manual,Diesel,11563,30,64.2,1.5,13298
13771,1,3,2017,Semi-Auto,Diesel,29607,160,50.4,3.0,22990
5340,0,11,2019,Automatic,Diesel,6000,145,48.7,2.0,27495
42926,3,37,2016,Manual,Petrol,23814,30,58.9,1.4,15000
14920,1,2,2015,Semi-Auto,Diesel,71902,125,57.6,2.0,14590
9482,0,11,2019,Automatic,Diesel,2475,145,50.4,2.0,28990
11526,1,89,2019,Manual,Diesel,105,145,68.9,2.0,28500
12666,1,1,2019,Automatic,Petrol,6269,145,50.4,2.0,20450
20146,1,0,2016,Manual,Diesel,31095,0,83.1,1.5,11199
212,0,13,2019,Semi-Auto,Diesel,27,145,50.4,2.0,31985
27727,2,33,2019,Manual,Petrol,6314,145,60.1,1.0,15990
6195,0,10,2019,Semi-Auto,Petrol,7508,150,42.2,1.5,24450
18034,1,92,2015,Automatic,Diesel,50323,145,54.3,2.0,19290
36435,2,32,2018,Automatic,Petrol,23624,145,54.3,1.0,14999
11701,1,1,2018,Semi-Auto,Petrol,27542,145,39.8,3.0,22998
38544,2,44,2018,Manual,Diesel,16370,145,64.2,1.5,17250
53647,3,84,2018,Semi-Auto,Petrol,1487,145,51.4,1.4,25352
8548,0,56,2016,Manual,Diesel,28646,145,51.4,2.0,16499
35884,2,32,2018,Manual,Petrol,5612,145,65.7,1.0,11999
31354,2,44,2017,Manual,Diesel,25370,145,60.1,2.0,16050
47250,3,53,2019,Manual,Petrol,8921,145,47.9,1.0,14200
45140,3,52,2014,Manual,Diesel,88000,30,65.7,1.6,5950
45158,3,52,2015,Semi-Auto,Diesel,83283,125,60.1,2.0,10798
5889,0,57,2019,Semi-Auto,Diesel,10224,145,38.2,2.0,36900
20669,1,97,2014,Manual,Petrol,37957,200,41.5,2.0,13200
25302,2,32,2018,Manual,Petrol,20507,145,64.2,1.1,9997
15933,1,4,2019,Automatic,Diesel,14522,145,62.8,2.0,38450
44143,3,37,2015,Automatic,Petrol,14571,30,53.3,1.4,13500
23425,2,32,2016,Manual,Petrol,7917,0,65.7,1.0,10175
36574,2,40,2017,Automatic,Diesel,41445,150,56.6,1.5,13699
29899,2,33,2018,Manual,Petrol,4657,145,60.1,1.0,11899
16132,1,0,2017,Manual,Diesel,32380,30,65.7,2.0,14000
13482,1,89,2019,Semi-Auto,Petrol,5863,145,46.3,1.5,25450
10847,1,0,2015,Manual,Diesel,42410,30,65.7,2.0,10998
28735,2,32,2017,Manual,Petrol,22697,145,65.7,1.0,9995
6533,0,8,2020,Semi-Auto,Petrol,3311,145,44.8,1.5,22990
14357,1,0,2019,Automatic,Diesel,8245,145,65.7,2.0,20780
7121,0,8,2016,Semi-Auto,Petrol,18018,30,57.6,1.4,13750
50649,3,81,2016,Manual,Diesel,45004,145,53.3,2.0,12912
20111,1,0,2017,Manual,Diesel,83923,145,83.1,1.5,9199
42564,3,37,2017,Semi-Auto,Diesel,25145,145,68.9,1.4,13990
17915,1,1,2020,Semi-Auto,Diesel,877,145,64.2,2.0,25485
11246,1,93,2016,Automatic,Diesel,83269,200,47.1,3.0,24998
38781,2,44,2015,Automatic,Diesel,35000,150,52.3,2.0,13495
42281,3,37,2017,Manual,Petrol,26353,30,53.3,1.4,13995
3697,0,8,2015,Manual,Petrol,57179,30,56.5,1.4,10499
36412,2,44,2017,Manual,Diesel,27415,125,60.1,2.0,16500
24926,2,18,2016,Semi-Auto,Petrol,34924,160,44.1,1.6,7991
29831,2,32,2018,Manual,Petrol,23370,145,58.9,1.0,9700
45153,3,52,2016,Manual,Diesel,36694,20,67.3,1.6,13495
7495,0,57,2012,Manual,Diesel,95000,205,47.9,2.0,10888
26100,2,33,2017,Manual,Petrol,15267,145,60.1,1.0,10450
38285,2,32,2016,Manual,Petrol,42000,125,54.3,1.2,6995
4771,0,58,2018,Semi-Auto,Diesel,20000,145,39.2,4.0,54990
15416,1,2,2019,Semi-Auto,Diesel,14009,150,55.4,2.0,21450
6333,0,11,2019,Automatic,Diesel,6647,145,46.3,2.0,24900
38719,2,33,2009,Manual,Petrol,85049,205,42.2,1.6,3485
5236,0,14,2017,Semi-Auto,Diesel,12298,145,52.3,3.0,24860
23927,2,32,2018,Automatic,Petrol,2150,145,54.3,1.0,14660
47565,3,53,2017,Manual,Petrol,34864,145,60.1,1.2,10032
5816,0,10,2016,Manual,Petrol,21114,20,60.1,1.0,13490
40336,3,37,2016,Semi-Auto,Diesel,23788,20,58.9,1.6,12498
20503,1,0,2012,Manual,Diesel,93697,125,60.1,2.0,6995
26305,2,28,2018,Manual,Petrol,14067,145,54.3,1.0,15290
29716,2,32,2015,Manual,Petrol,25935,0,65.7,1.0,8299
19913,1,6,2015,Automatic,Diesel,65397,160,49.6,3.0,17950
34723,2,43,2019,Manual,Petrol,373,145,47.9,1.2,11500
30690,2,33,2020,Manual,Petrol,50,145,48.7,1.0,22000
43690,3,37,2016,Manual,Diesel,60009,0,74.3,1.6,10495
20071,1,0,2017,Manual,Petrol,19108,145,56.5,1.5,11999
14463,1,91,2019,Semi-Auto,Petrol,13191,145,30.4,2.0,31400
25118,2,32,2018,Manual,Petrol,13672,145,65.7,1.0,10980
27861,2,44,2019,Manual,Petrol,9965,145,35.3,1.5,18985
2984,0,56,2019,Manual,Diesel,6389,145,42.8,2.0,28770
31918,2,44,2016,Manual,Diesel,36215,125,60.1,2.0,12740
11001,1,0,2014,Manual,Diesel,41500,125,57.6,2.0,12000
38580,2,28,2018,Manual,Petrol,6551,145,54.3,1.0,14750
36480,2,44,2017,Automatic,Petrol,22071,240,38.2,1.5,13300
15604,1,0,2017,Semi-Auto,Diesel,30939,30,65.7,2.0,14610
28911,2,50,2016,Manual,Diesel,35437,20,68.9,2.0,11995
35641,2,50,2016,Manual,Diesel,47635,0,78.5,1.5,10499
47128,3,53,2020,Manual,Petrol,399,145,47.9,1.0,15500
9326,0,56,2019,Automatic,Diesel,5831,145,47.1,2.0,27490
45782,3,52,2015,Manual,Diesel,30520,20,68.9,2.0,11995
10882,1,4,2017,Semi-Auto,Diesel,12725,145,68.9,2.0,20498
35343,2,42,2018,Manual,Petrol,6878,145,57.7,1.2,8700
2067,0,13,2016,Semi-Auto,Diesel,78545,20,67.3,2.0,13498
16358,1,2,2019,Semi-Auto,Diesel,9598,150,47.9,3.0,33990
29866,2,32,2014,Manual,Petrol,39860,30,54.3,1.2,5750
18994,1,1,2020,Manual,Petrol,1688,145,43.5,1.5,28950
29663,2,33,2018,Manual,Petrol,18050,145,61.4,1.0,11000
11828,1,1,2018,Semi-Auto,Petrol,7762,150,50.4,1.5,18998
22175,2,33,2019,Manual,Petrol,19322,150,60.1,1.0,16998
39873,3,79,2018,Manual,Diesel,10468,145,50.4,1.6,19450
51437,3,75,2019,Semi-Auto,Petrol,1438,145,32.5,1.4,25490
8570,0,56,2017,Manual,Diesel,29854,145,50.4,2.0,21500
7591,0,57,2019,Automatic,Petrol,6000,145,32.1,2.0,36438
37929,2,42,2018,Manual,Petrol,17000,145,57.7,0.0,8444
54161,3,16,2019,Automatic,Diesel,3412,260,27.7,3.0,39999
25288,2,32,2018,Manual,Petrol,20670,145,65.7,1.0,9997
40308,3,37,2015,Manual,Diesel,59500,0,74.3,1.6,8295
35350,2,33,2016,Automatic,Petrol,14127,125,51.4,1.0,10995
4041,0,12,2015,Automatic,Diesel,34500,200,44.8,3.0,20990
33536,2,28,2018,Manual,Petrol,11750,145,53.3,1.0,14790
36232,2,32,2019,Manual,Petrol,2698,150,58.9,1.0,14299
54450,3,21,2016,Semi-Auto,Diesel,52276,125,58.9,2.0,12990
8869,0,56,2017,Manual,Petrol,28065,125,51.4,1.4,16500
41892,3,37,2016,Manual,Diesel,37299,0,74.3,1.6,10940
43825,3,37,2014,Manual,Diesel,27940,20,67.3,2.0,14300
10118,0,8,2019,Automatic,Petrol,2555,145,44.1,1.0,22790
13357,1,4,2019,Semi-Auto,Diesel,15,145,53.3,3.0,35475
4881,0,10,2019,Manual,Diesel,7000,145,51.4,1.6,18000
52645,3,74,2012,Manual,Diesel,75000,145,53.3,2.0,8475
43799,3,37,2018,Automatic,Hybrid,7773,135,156.9,1.4,23999
25688,2,28,2017,Manual,Petrol,25050,125,53.3,1.0,9998
1439,0,13,2013,Semi-Auto,Diesel,46206,145,55.4,3.0,13695
17108,1,2,2019,Automatic,Petrol,3185,145,42.2,2.0,29500
26065,2,32,2018,Manual,Petrol,10405,145,64.2,1.1,9950
17445,1,94,2017,Semi-Auto,Petrol,19924,145,25.4,4.4,48482
48492,3,53,2016,Manual,Diesel,36000,0,83.1,1.4,9690
44482,3,37,2019,Manual,Petrol,1133,145,43.5,1.5,18990
29768,2,44,2018,Manual,Petrol,6556,145,39.2,1.5,17999
40196,3,37,2003,Manual,Petrol,62000,325,24.6,3.2,12450
40895,3,37,2019,Automatic,Diesel,4000,145,51.4,1.6,18991
28340,2,44,2018,Manual,Diesel,13032,145,47.9,2.0,18600
24819,2,43,2017,Manual,Petrol,42981,30,57.7,1.2,6521
21192,1,2,2017,Manual,Diesel,34098,145,64.2,2.0,16000
47833,3,53,2019,Manual,Petrol,11531,145,52.3,1.0,13350
38339,2,32,2012,Manual,Diesel,83000,0,85.6,1.6,3995
48060,3,53,2016,Manual,Petrol,43000,20,60.1,1.0,8750
18884,1,0,2018,Automatic,Petrol,18225,145,32.5,3.0,22000
30302,2,32,2018,Manual,Petrol,10000,145,62.8,1.0,15699
5139,0,8,2019,Semi-Auto,Petrol,6000,145,44.8,1.0,22059
29030,2,33,2017,Manual,Petrol,16703,145,57.7,1.0,12798
14056,1,93,2020,Semi-Auto,Diesel,5899,145,37.7,3.0,52990
21694,2,32,2019,Manual,Petrol,3265,145,58.9,1.0,17498
34441,2,44,2017,Manual,Diesel,24554,145,60.1,2.0,16495
46021,3,78,2019,Manual,Petrol,2564,145,47.9,1.0,18587
39314,2,67,2017,Manual,Petrol,36384,160,43.5,1.5,15999
26759,2,32,2019,Manual,Petrol,9326,145,58.9,1.0,14320
27552,2,32,2019,Manual,Diesel,9726,150,55.4,1.5,11785
44489,3,37,2019,Manual,Diesel,2757,145,62.8,2.0,21490
40240,3,37,2019,Manual,Petrol,10,145,49.6,1.5,24485
10253,0,12,2017,Automatic,Diesel,34011,30,62.8,2.0,20000
1638,0,13,2016,Manual,Diesel,62668,30,61.4,2.0,16498
11491,1,0,2017,Manual,Diesel,28133,145,65.7,2.0,14898
19478,1,0,2017,Manual,Diesel,42069,20,68.9,2.0,12988
29672,2,32,2018,Manual,Petrol,7452,145,65.7,1.0,11000
42978,3,37,2017,Manual,Petrol,14086,30,53.3,1.4,15500
50175,3,81,2017,Manual,Diesel,25230,145,58.9,2.0,17995
23062,2,33,2019,Manual,Petrol,5068,145,60.1,1.0,15400
5088,0,12,2019,Automatic,Diesel,5000,145,51.4,2.0,31990
48669,3,53,2019,Semi-Auto,Petrol,13400,145,45.6,1.0,14499
51785,3,88,2020,Manual,Petrol,2122,145,50.4,1.0,13500
52737,3,19,2016,Automatic,Diesel,43268,125,58.9,2.0,13480
51426,3,75,2019,Semi-Auto,Diesel,770,145,40.9,2.0,27990
46070,3,78,2019,Manual,Petrol,5111,145,47.9,1.0,17890
16057,1,0,2020,Semi-Auto,Petrol,10,145,42.8,1.5,26495
53689,3,84,2017,Manual,Petrol,13058,150,49.6,1.4,19490
46200,3,78,2019,Automatic,Petrol,1000,145,45.6,1.0,20750
20698,1,4,2010,Automatic,Diesel,129000,205,46.3,3.0,6500
27268,2,43,2017,Manual,Petrol,16838,145,57.7,1.2,7291
9531,0,57,2019,Automatic,Diesel,10200,145,38.2,2.0,38490
50966,3,81,2019,Manual,Diesel,8950,145,47.9,2.0,23800
33576,2,28,2017,Manual,Diesel,24379,30,64.2,1.5,9570
32442,2,32,2018,Manual,Petrol,11904,145,62.8,1.0,12499
14905,1,93,2019,Semi-Auto,Diesel,12587,145,37.7,3.0,44800
52201,3,88,2016,Manual,Petrol,37700,20,64.2,1.0,6400
15241,1,0,2014,Manual,Diesel,49064,30,65.7,2.0,9991
12230,1,1,2019,Manual,Diesel,2631,145,55.4,2.0,24500
5695,0,57,2019,Semi-Auto,Diesel,4980,145,38.2,2.0,33950
37048,2,32,2018,Manual,Petrol,30144,145,65.7,1.0,11400
29475,2,32,2018,Manual,Petrol,13176,145,65.7,1.0,10995
9171,0,13,2017,Automatic,Diesel,28500,150,58.9,2.0,22490
14777,1,91,2015,Semi-Auto,Diesel,71194,150,54.3,2.0,16998
27137,2,33,2019,Automatic,Petrol,11214,145,51.4,1.0,16160
13642,1,0,2016,Semi-Auto,Petrol,38964,205,39.8,3.0,18498
53232,3,83,2016,Automatic,Diesel,48959,260,40.9,3.0,19300
15261,1,2,2017,Semi-Auto,Diesel,40841,150,64.2,2.0,18698
48309,3,53,2017,Manual,Petrol,15800,150,60.1,1.0,9999
22527,2,32,2016,Manual,Petrol,28720,0,65.7,1.0,9210
49633,3,81,2019,Manual,Diesel,3176,145,47.9,2.0,30725
4978,0,8,2017,Manual,Petrol,14723,150,55.4,1.4,14490
22686,2,44,2017,Manual,Diesel,8800,150,54.3,2.0,17498
54095,3,38,2019,Automatic,Petrol,6500,145,42.8,1.5,20950
8147,0,11,2013,Manual,Diesel,53764,125,60.1,2.0,9999
16488,1,1,2019,Semi-Auto,Petrol,7338,150,47.9,2.0,24690
52328,3,88,2016,Automatic,Petrol,16550,0,67.3,1.0,9100
27973,2,32,2017,Manual,Petrol,30328,125,54.3,1.2,7499
3102,0,58,2017,Semi-Auto,Diesel,12751,145,39.2,4.0,51595
19066,1,93,2015,Automatic,Diesel,78902,160,50.4,2.0,21250
4000,0,56,2015,Semi-Auto,Petrol,44500,145,47.9,1.4,17490
28510,2,32,2018,Manual,Petrol,8791,145,65.7,1.0,15550
53249,3,83,2017,Automatic,Diesel,32199,235,42.8,3.0,24900
47098,3,53,2017,Manual,Petrol,17049,20,60.1,1.0,10162
25823,2,33,2019,Automatic,Diesel,6644,145,49.6,2.0,20390
41547,3,37,2018,Semi-Auto,Hybrid,24353,135,156.9,1.4,21686
37645,2,32,2016,Manual,Petrol,15411,125,54.3,1.2,8100
47729,3,53,2019,Manual,Petrol,9740,145,48.7,1.0,13290
50578,3,81,2018,Manual,Petrol,950,145,48.7,1.4,22000
39630,3,79,2020,Manual,Diesel,3555,145,50.4,2.0,22490
7327,0,57,2019,Semi-Auto,Diesel,6000,150,38.2,2.0,35490
26986,2,32,2018,Manual,Petrol,18253,145,65.7,1.0,9430
16715,1,47,2020,Semi-Auto,Petrol,7,145,32.5,3.0,49490
7542,0,15,2019,Automatic,Diesel,755,145,39.2,3.0,47990
49218,3,53,2018,Manual,Petrol,14597,145,62.8,1.0,12990
35973,2,36,2016,Automatic,Diesel,117000,150,52.3,2.0,10792
44174,3,37,2017,Manual,Petrol,18366,145,35.8,2.0,22800
19009,1,89,2016,Automatic,Diesel,45234,125,60.1,2.0,17499
9430,0,58,2019,Automatic,Diesel,10,145,33.6,3.0,41495
21426,1,2,2012,Automatic,Diesel,52000,160,50.4,2.0,9999
36084,2,32,2019,Manual,Petrol,20059,145,40.3,1.5,14652
23793,2,32,2017,Manual,Petrol,33699,150,64.2,1.1,7990
14159,1,1,2018,Manual,Petrol,3580,145,52.3,1.5,18480
50585,3,81,2017,Semi-Auto,Petrol,29535,145,38.2,2.0,22490
13809,1,91,2019,Semi-Auto,Diesel,6501,150,36.7,3.0,41980
37827,2,36,2009,Manual,Diesel,75000,200,45.6,2.0,5275
48325,3,53,2015,Manual,Petrol,36413,20,60.1,1.0,7140
25155,2,36,2017,Manual,Diesel,37614,125,56.5,2.0,17999
53843,3,84,2019,Manual,Diesel,9296,145,51.4,1.6,20000
39580,3,79,2018,Semi-Auto,Petrol,8690,145,41.5,2.0,22798
50346,3,81,2019,Manual,Diesel,8896,145,47.9,2.0,25990
53367,3,17,2019,Automatic,Diesel,4250,145,50.4,2.0,26995
33445,2,33,2016,Manual,Petrol,27638,20,61.4,1.0,8700
1694,0,11,2018,Manual,Petrol,13972,145,52.3,1.4,17298
40542,3,37,2015,Manual,Petrol,45063,200,39.8,2.0,16498
29354,2,33,2019,Manual,Petrol,12125,145,60.1,1.0,14791
38348,2,50,2018,Manual,Diesel,27206,145,62.8,2.0,14599
6639,0,56,2017,Semi-Auto,Diesel,28619,145,53.3,2.0,22075
2272,0,10,2018,Semi-Auto,Petrol,19704,150,58.9,1.5,16990
33790,2,32,2017,Manual,Petrol,18000,150,64.2,1.1,9000
28951,2,18,2017,Manual,Petrol,12293,30,55.4,1.0,9998
2120,0,56,2016,Manual,Diesel,15541,30,61.4,2.0,15495
18014,1,4,2020,Semi-Auto,Diesel,12,145,56.5,3.0,36985
52107,3,88,2020,Manual,Petrol,50,150,51.4,1.0,11520
50425,3,81,2017,Manual,Diesel,16004,165,50.4,2.0,23480
10141,0,57,2020,Automatic,Diesel,5362,145,38.2,2.0,34500
8666,0,58,2019,Automatic,Diesel,8000,145,32.8,3.0,48950
47735,3,53,2019,Manual,Petrol,2500,145,52.3,1.0,15900
51075,3,81,2015,Automatic,Diesel,17819,165,49.6,2.0,14600
37253,2,32,2017,Manual,Petrol,37566,0,65.7,1.0,9489
35317,2,44,2014,Manual,Diesel,53000,200,47.9,2.0,9977
45372,3,52,2019,Semi-Auto,Diesel,14602,145,53.3,2.0,16656
30785,2,32,2017,Manual,Petrol,18041,145,54.3,1.2,8730
10173,0,13,2010,Manual,Diesel,89000,150,48.7,2.0,6890
45278,3,52,2020,Semi-Auto,Hybrid,2000,135,43.5,1.4,38000
3667,0,57,2019,Semi-Auto,Diesel,3322,150,38.2,2.0,35500
30467,2,32,2016,Manual,Petrol,28530,20,62.8,1.0,9500
37175,2,33,2020,Manual,Petrol,100,145,60.1,1.0,20000
54289,3,82,2019,Automatic,Petrol,8708,145,30.7,2.0,31490
2134,0,12,2014,Semi-Auto,Diesel,65555,125,60.1,2.0,12240
2781,0,56,2019,Semi-Auto,Diesel,15571,145,48.7,2.0,25636
45794,3,52,2018,Automatic,Petrol,422,145,41.5,1.5,17699
50558,3,81,2017,Manual,Petrol,36969,145,48.7,1.4,17490
8433,0,56,2016,Manual,Diesel,51708,160,49.6,2.0,16999
22219,2,32,2015,Manual,Petrol,27128,0,65.7,1.0,7324
23362,2,29,2018,Semi-Auto,Diesel,26602,145,48.7,2.0,20795
4319,0,10,2018,Manual,Diesel,25955,145,51.4,1.6,20995
47719,3,53,2017,Manual,Petrol,26327,145,60.1,1.2,10490
37215,2,44,2017,Manual,Diesel,24293,145,54.3,2.0,16989
7956,0,11,2013,Automatic,Diesel,81000,125,58.9,2.0,7990
45898,3,52,2016,Manual,Diesel,74784,20,68.9,2.0,9495
49186,3,53,2011,Manual,Petrol,72000,125,53.3,1.2,5295
4084,0,55,2019,Manual,Diesel,4647,145,47.9,1.6,22000
7778,0,58,2014,Automatic,Diesel,66000,300,38.2,3.0,19995
50111,3,81,2017,Manual,Diesel,19285,145,58.9,2.0,17552
41039,3,37,2016,Manual,Petrol,15774,30,53.3,1.4,14000
8096,0,56,2014,Manual,Diesel,46621,145,54.3,2.0,12499
42161,3,37,2018,Manual,Diesel,21612,145,67.3,2.0,15499
43042,3,37,2019,Semi-Auto,Petrol,5016,145,43.5,1.5,23800
16923,1,91,2019,Automatic,Diesel,5000,145,54.3,2.0,33750
46036,3,78,2019,Automatic,Diesel,3966,145,51.4,1.6,20744
45730,3,52,2016,Automatic,Diesel,34683,30,60.1,2.0,13999
41045,3,37,2016,Manual,Petrol,30224,20,60.1,1.4,14498
5444,0,56,2020,Semi-Auto,Diesel,2166,145,47.1,2.0,31990
8863,0,8,2018,Manual,Petrol,10844,150,70.6,1.4,17000
16375,1,0,2016,Manual,Petrol,18372,125,52.3,1.5,14250
34454,2,28,2017,Manual,Petrol,10960,150,52.3,1.0,10899
15460,1,0,2019,Semi-Auto,Diesel,4902,145,51.4,2.0,33150
18625,1,2,2019,Automatic,Petrol,5109,150,42.2,2.0,28500
12212,1,3,2013,Semi-Auto,Petrol,47852,145,47.1,2.0,12982
1170,0,55,2019,Manual,Diesel,5988,145,49.6,1.6,18896
8556,0,11,2015,Manual,Diesel,81790,125,57.6,2.0,12000
40411,3,37,2016,Semi-Auto,Diesel,21997,20,58.9,1.6,12495
2421,0,55,2019,Manual,Diesel,4050,145,49.6,1.6,21500
20248,1,0,2016,Manual,Diesel,56044,0,78.5,1.5,9749
42263,3,37,2015,Manual,Diesel,56521,0,74.3,1.6,9995
54322,3,82,2019,Automatic,Diesel,3698,145,39.2,2.0,30299
31586,2,33,2015,Manual,Petrol,33012,20,60.1,1.0,8495
34409,2,36,2017,Semi-Auto,Diesel,26088,145,52.3,2.0,20600
16415,1,89,2020,Automatic,Diesel,1000,145,47.9,2.0,26750
14841,1,4,2019,Semi-Auto,Diesel,3445,150,60.1,2.0,28980
15399,1,0,2020,Semi-Auto,Petrol,151,150,34.5,2.0,32972
15549,1,89,2018,Semi-Auto,Diesel,13245,150,60.1,2.0,24081
23277,2,32,2016,Manual,Petrol,24987,125,54.3,1.2,7500
25251,2,32,2018,Manual,Petrol,22477,145,58.9,1.0,11690
45515,3,52,2018,Manual,Petrol,18400,145,54.3,1.4,19490
47883,3,53,2019,Manual,Petrol,3500,145,48.7,1.0,14990
19810,1,0,2019,Automatic,Diesel,5000,145,51.4,2.0,26988
16386,1,5,2016,Semi-Auto,Diesel,21654,200,49.6,3.0,22990
25233,2,32,2019,Manual,Petrol,35,145,48.7,1.1,13000
41854,3,37,2017,Semi-Auto,Diesel,41576,30,62.8,2.0,16500
5751,0,55,2020,Semi-Auto,Petrol,2500,145,42.2,1.5,27450
49229,3,53,2018,Manual,Petrol,23654,150,64.2,1.0,11990
24814,2,39,2016,Semi-Auto,Diesel,24512,30,58.9,1.5,10250
3898,0,11,2017,Semi-Auto,Petrol,24911,150,42.8,2.0,20990
53748,3,84,2017,Semi-Auto,Petrol,20685,125,51.4,1.4,19841
6384,0,55,2019,Semi-Auto,Petrol,5295,145,39.8,1.5,26695
27248,2,32,2019,Manual,Petrol,3254,145,56.5,1.0,13900
3048,0,8,2016,Manual,Petrol,18365,30,56.5,1.4,14470
15635,1,90,2020,Semi-Auto,Petrol,1501,145,38.7,2.0,29995
28830,2,33,2019,Automatic,Diesel,9299,145,64.2,2.0,16995
40326,3,37,2019,Semi-Auto,Petrol,5000,145,47.1,1.5,19790
30421,2,50,2019,Manual,Diesel,27,145,65.7,2.0,20500
47440,3,53,2014,Manual,Petrol,59078,20,60.1,1.0,5995
27127,2,28,2017,Manual,Diesel,13556,30,64.2,1.5,10100
7856,0,13,2016,Manual,Diesel,43404,30,64.2,2.0,15995
49972,3,81,2019,Semi-Auto,Diesel,2764,145,35.3,2.0,32699
31966,2,44,2019,Manual,Diesel,9863,145,47.9,2.0,19610
9187,0,12,2019,Automatic,Diesel,4654,145,45.6,2.0,28990
51547,3,88,2020,Manual,Petrol,100,145,50.4,1.0,11990
47369,3,53,2017,Manual,Petrol,13044,145,60.1,1.2,10392
33691,2,32,2017,Manual,Petrol,7450,150,64.2,1.1,9700
20222,1,0,2019,Automatic,Petrol,12212,145,55.5,1.5,15989
40649,3,37,2016,Manual,Petrol,11330,30,53.3,1.4,12998
21315,1,89,2016,Automatic,Diesel,45356,125,60.1,2.0,14200
28817,2,32,2018,Manual,Petrol,17924,145,65.7,1.0,9499
19755,1,3,2017,Manual,Diesel,27599,150,62.8,2.0,16488
5835,0,12,2013,Semi-Auto,Diesel,67000,125,60.1,2.0,10990
9727,0,10,2008,Manual,Diesel,136000,205,48.7,2.0,2995
37887,2,32,2010,Manual,Petrol,57440,125,50.4,1.2,3695
11723,1,3,2016,Automatic,Diesel,37032,125,58.9,2.0,17785
5906,0,8,2019,Semi-Auto,Petrol,2221,145,44.8,1.5,22490
